base_name,indication,mg_per_dose,dosing_period,daily_dose,dosage_forms,ephmra_code
guselkumab,ulcerative colitis,100|200,every 8 weeks|every 4 weeks,8.93|17.86,100/1 pen|100/1 syringe|100/1 injector|200/2 pen|200/2 syringe,L4C (Interleukin Inhibitors)
guselkumab,crohn's disease,100|200,every 8 weeks|every 4 weeks,8.93|17.86,100/1 pen|100/1 syringe|100/1 injector|200/2 pen|200/2 syringe,L4C (Interleukin Inhibitors)
ibalizumab,HIV-1 infection in heavily treatment-experienced adults with multidrug resistant HIV-1 infection failing their current antiretroviral regimen,800,every 2 weeks,57.14,injection,J5C4 (HIV Antivirals Entry Inhibitors)
ibritumomab,"relapsed or refractory, low-grade or follicular B-cell non-Hodgkin's lymphoma",224,single course,0.61,3.2/2 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
ibritumomab,previously untreated follicular NHL who achieve partial or complete response to first-line chemotherapy,224,single course,0.61,3.2/2 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
idarucizumab,emergency surgery/urgent procedures or life-threatening bleeding,5000,single dose,0,2.5/50 vial,B2B9 (Antidotes to Anticoagulants Other)
inebilizumab,Neuromyelitis optica spectrum disorder (NMOSD),300,every 6 months,1.64,100/10 vial,N7X (All Other CNS Drugs)
inebilizumab,Immunoglobulin G4-related disease (IgG4-RD),300,every 6 months,1.64,100/10 vial,N7X (All Other CNS Drugs)
inebilizumab,Generalized myasthenia gravis (gMG),300,every 6 months,1.64,100/10 vial,N7X (All Other CNS Drugs)
infliximab,crohn's disease,350|700|120,every 8 weeks|every two weeks,22.32|44.64|4.38,100 vial|120/mL prefilled syringe|120/mL prefilled syringe with needle guard|120/mL prefilled pen,L4B (Anti-TNF Products)
infliximab,ulcerative colitis,350|120,every 8 weeks|every two weeks,22.32|4.38,100 vial|120/mL prefilled syringe|120/mL prefilled syringe with needle guard|120/mL prefilled pen,L4B (Anti-TNF Products)
infliximab,rheumatoid arthritis,210|700,every 8 weeks|every 4 weeks,13.39|44.64|26.79,100 vial|120/mL prefilled syringe|120/mL prefilled syringe with needle guard|120/mL prefilled pen,L4B (Anti-TNF Products)
infliximab,ankylosing spondylitis,350,every 6 weeks,29.76,100 vial|120/mL prefilled syringe|120/mL prefilled syringe with needle guard|120/mL prefilled pen,L4B (Anti-TNF Products)
infliximab,psoriatic arthritis,350,every 8 weeks,22.32,100 vial|120/mL prefilled syringe|120/mL prefilled syringe with needle guard|120/mL prefilled pen,L4B (Anti-TNF Products)
infliximab,plaque psoriasis,350,every 8 weeks,22.32,100 vial|120/mL prefilled syringe|120/mL prefilled syringe with needle guard|120/mL prefilled pen,L4B (Anti-TNF Products)
inotuzumab,relapsed or refractory CD22-positive B-cell precursor acute lymphoblastic leukemia (ALL),0.85,day 1 of 28-day cycle|day 8 of 28-day cycle|day 15 of 28-day cycle,0.03,0.9 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Unresectable or Metastatic Melanoma,210,every 3 weeks,10.0,50/10 vial|200/40 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Adjuvant Treatment of Melanoma,210,every 12 weeks,2.5,50/10 vial|200/40 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Advanced Renal Cell Carcinoma,70,every 3 weeks,3.33,50/10 vial|200/40 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,MSI-H or dMMR Colorectal Cancer,70,every 3 weeks,3.33,50/10 vial|200/40 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Hepatocellular Carcinoma,210,every 3 weeks,10.0,50/10 vial|200/40 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Metastatic Non-Small Cell Lung Cancer,70,every 6 weeks,1.67,50/10 vial|200/40 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Malignant Pleural Mesothelioma,70,every 6 weeks,1.67,50/10 vial|200/40 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Esophageal Squamous Cell Carcinoma,70,every 6 weeks,1.67,50/10 vial|200/40 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
isatuximab,multiple myeloma with pomalidomide and dexamethasone (≥2 prior therapies),700,every 2 weeks,26.92,100/5 vial|500/25 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
isatuximab,relapsed or refractory multiple myeloma with carfilzomib and dexamethasone (1-3 prior lines),700,every 2 weeks,26.92,100/5 vial|500/25 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
isatuximab,"newly diagnosed multiple myeloma with bortezomib, lenalidomide, and dexamethasone (not ASCT eligible)",700,every 4 weeks,17.95,100/5 vial|500/25 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
ixekizumab,Adult Plaque Psoriasis,80,every 4 weeks,7.67,80/1 autoinjector|80/1 syringe,L4C (Interleukin Inhibitors)
ixekizumab,Psoriatic Arthritis,80,every 4 weeks,7.67,80/1 autoinjector|80/1 syringe,L4C (Interleukin Inhibitors)
ixekizumab,Ankylosing Spondylitis,80,every 4 weeks,7.67,80/1 autoinjector|80/1 syringe,L4C (Interleukin Inhibitors)
ixekizumab,Non-radiographic Axial Spondyloarthritis,80,every 4 weeks,7.67,80/1 autoinjector|80/1 syringe,L4C (Interleukin Inhibitors)
lanadelumab,hereditary angioedema (HAE) prophylaxis,300,every 2 weeks,21.43,150/1 syringe|300/2 syringe|300/2 vial,B6D (Hereditary Angioedema Products)
lebrikizumab,moderate-to-severe atopic dermatitis,250,every 4 weeks,8.93,250/2 pen|250/2 syringe,D5X (Other Nonsteroidal Products For Inflammatory Skin Disorders)
lecanemab,Alzheimer's disease,700|360,every 4 weeks|weekly,25.0|51.43,500/5 vial|200/2 vial|360/1.8 autoinjector,N7D9 (All Other Anti-Alzheimer Products)
loncastuximab,relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy,5.25,every 3 weeks,0.25,10 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
margetuximab,metastatic HER2-positive breast cancer,1050,every 3 weeks,50,250/10 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
marstacimab,hemophilia A without factor VIII inhibitors,150|300,weekly,21.43|42.86,150/1 prefilled syringe|150/1 prefilled pen,B2D3 (Haemophilia Anti-Inhibitor Products)
marstacimab,hemophilia B without factor IX inhibitors,150|300,weekly,21.43|42.86,150/1 prefilled syringe|150/1 prefilled pen,B2D3 (Haemophilia Anti-Inhibitor Products)
mepolizumab,severe asthma,100,every 4 weeks,9.13,100 vial|100/1 autoinjector|100/1 syringe,R3M (Interleukin Inhibitor Anti-Asthmatics)
mepolizumab,chronic rhinosinusitis with nasal polyps,100,every 4 weeks,9.13,100 vial|100/1 autoinjector|100/1 syringe,R3M (Interleukin Inhibitor Anti-Asthmatics)
mepolizumab,chronic obstructive pulmonary disease,100,every 4 weeks,9.13,100 vial|100/1 autoinjector|100/1 syringe,R3M (Interleukin Inhibitor Anti-Asthmatics)
mepolizumab,eosinophilic granulomatosis with polyangiitis,300,every 4 weeks,27.4,100 vial|100/1 autoinjector|100/1 syringe,R3M (Interleukin Inhibitor Anti-Asthmatics)
mepolizumab,hypereosinophilic syndrome,300,every 4 weeks,27.4,100 vial|100/1 autoinjector|100/1 syringe,R3M (Interleukin Inhibitor Anti-Asthmatics)
mirikizumab,moderately to severely active ulcerative colitis,200,every 4 weeks,13.84,100/1 prefilled pen|100/1 prefilled syringe|200/2 prefilled pen|200/2 prefilled syringe,L4C (Interleukin Inhibitors)
mirikizumab,moderately to severely active Crohn's disease,300,every 4 weeks,20.77,100/1 prefilled pen|100/1 prefilled syringe|200/2 prefilled pen|200/2 prefilled syringe,L4C (Interleukin Inhibitors)
mirvetuximab,"FRα positive, platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer",420,every 3 weeks,20,100/20 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
mogamulizumab,relapsed or refractory mycosis fungoides or Sézary syndrome,70,every 2 weeks,10,20/5 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
mosunetuzumab,relapsed or refractory follicular lymphoma,30|45,every 21 days,1.43|2.14,1/1 vial|30/30 vial|5/0.5 vial|45/1 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
narsoplimab,hematopoietic stem cell transplant-associated thrombotic microangiopathy (TA-TMA),370,weekly,52.86,370/2 vial,L4X (Other Immunosuppressants)
natalizumab,Multiple Sclerosis,300,every 4 weeks,10.11,300/15 vial,N7A (Multiple Sclerosis Products)
natalizumab,Crohn's Disease,300,every 4 weeks,10.11,300/15 vial,N7A (Multiple Sclerosis Products)
naxitamab,relapsed or refractory high-risk neuroblastoma in the bone or bone marrow,150.0,every 4 weeks,16.07,40/10 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
necitumumab,metastatic squamous non-small cell lung cancer,800,twice every 3 weeks,76.19,800/50 vial,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
nemolizumab,prurigo nodularis,30|60,every 4 weeks,0.82|1.64,30 pen,D5X (Other Nonsteroidal Products For Inflammatory Skin Disorders)
nemolizumab,atopic dermatitis,30,every 4 weeks|every 8 weeks,0.82|0.41,30 pen,D5X (Other Nonsteroidal Products For Inflammatory Skin Disorders)
nipocalimab,generalized myasthenia gravis (gMG) in anti-AChR or anti-MuSK antibody positive patients,1050,every 2 weeks,75,300/1.62 vial|1200/6.5 vial,M5X (All Other Musculoskeletal Products)
nivolumab,Unresectable or metastatic melanoma (single agent),240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Unresectable or metastatic melanoma (combination with ipilimumab - maintenance),240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Adjuvant treatment of melanoma,240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Neoadjuvant and adjuvant treatment of resectable NSCLC (adjuvant phase),480,every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Metastatic NSCLC expressing PD-L1 (combination with ipilimumab),360,every 3 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Metastatic or recurrent NSCLC (combination with ipilimumab and chemotherapy),360,every 3 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Metastatic NSCLC (single agent),240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Malignant pleural mesothelioma (combination with ipilimumab),360,every 3 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Advanced RCC (combination with ipilimumab - maintenance),240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Advanced RCC (combination with cabozantinib),240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Advanced RCC (single agent),240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Previously untreated classical Hodgkin lymphoma (combination with AVD),240,every 2 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Classical Hodgkin lymphoma (single agent),240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Squamous cell carcinoma of the head and neck,240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Adjuvant treatment of urothelial carcinoma,240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,First-line unresectable or metastatic urothelial carcinoma (maintenance),240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Previously treated locally advanced or metastatic urothelial carcinoma,240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,MSI-H or dMMR metastatic colorectal cancer (combination with ipilimumab - maintenance),240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,MSI-H or dMMR metastatic colorectal cancer (single agent),240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Hepatocellular carcinoma (combination with ipilimumab - maintenance),240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Adjuvant treatment of resected esophageal or gastroesophageal junction cancer,240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Esophageal squamous cell carcinoma (combination with chemotherapy),240|480,every 2 weeks|every 4 weeks,12.17,injection,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
obiltoxaximab,inhalational anthrax treatment,1120,single dose,1120,600/6 vial,J1X9 (All Other Antibacterials)
obiltoxaximab,inhalational anthrax prophylaxis,1120,single dose,1120,600/6 vial,J1X9 (All Other Antibacterials)
obinutuzumab,Chronic Lymphocytic Leukemia,1000,28 days for 6 cycles,21.43,1000/40 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
obinutuzumab,Follicular Lymphoma - maintenance,1000,every 2 months for up to 2 years,16.44,1000/40 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
obinutuzumab,Lupus Nephritis - maintenance,1000,every 6 months,5.48,1000/40 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
ocrelizumab,Relapsing forms of multiple sclerosis,600|920,every 6 months,3.29|5.04,300/10 vial|920/23 vial,N7A (Multiple Sclerosis Products)
ocrelizumab,Primary progressive multiple sclerosis,600|920,every 6 months,3.29|5.04,300/10 vial|920/23 vial,N7A (Multiple Sclerosis Products)
ofatumumab,relapsing forms of multiple sclerosis,20,monthly,0.66,20/0.4 pen|20/0.4 syringe,L1G1 (Monoclonal Antibody Antineoplastics CD20)
panitumumab,RAS Wild-Type Metastatic Colorectal Cancer,420,every 14 days,30.0,100/5 vial|400/20 vial,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
panitumumab,KRAS G12C-mutated Metastatic Colorectal Cancer (in combination with sotorasib),420,every 14 days,30.0,100/5 vial|400/20 vial,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
pembrolizumab,Melanoma (unresectable or metastatic),200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Melanoma (adjuvant),200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Non-Small Cell Lung Cancer,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Malignant Pleural Mesothelioma,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Head and Neck Squamous Cell Cancer,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Classical Hodgkin Lymphoma,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Primary Mediastinal Large B-Cell Lymphoma,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Urothelial Cancer,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,MSI-H or dMMR Cancer,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,MSI-H or dMMR Colorectal Cancer,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Gastric Cancer,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Esophageal Cancer,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Cervical Cancer,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Hepatocellular Carcinoma,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Biliary Tract Cancer,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Merkel Cell Carcinoma,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Renal Cell Carcinoma,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Endometrial Carcinoma,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,TMB-H Cancer,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Cutaneous Squamous Cell Carcinoma,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Triple-Negative Breast Cancer,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Ovarian Cancer,200|400,every 3 weeks|every 6 weeks,9.52|9.59,100/4 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
penpulimab,Recurrent or Metastatic Non-Keratinizing Nasopharyngeal Carcinoma,200,every 3 weeks|every 2 weeks,9.52|14.29,100/10 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pertuzumab,HER2-positive metastatic breast cancer,420|600,every 3 weeks,20.0|25.71,420/14 vial|600/10 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
pertuzumab,HER2-positive early breast cancer neoadjuvant treatment,420|600,every 3 weeks,20.0|25.71,420/14 vial|600/10 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
pertuzumab,HER2-positive early breast cancer adjuvant treatment,420|600,every 3 weeks,20.0|25.71,420/14 vial|600/10 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
polatuzumab,"Previously Untreated DLBCL, NOS or HGBL",126.0,every 21 days,6.0,30 vial|140 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
polatuzumab,"Relapsed or Refractory DLBCL, NOS",126.0,every 21 days,6.0,30 vial|140 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
pozelimab,"CD55-deficient protein-losing enteropathy (PLE), also known as CHAPLE disease",700,weekly,100,400/2 vial,L4E (Complement Inhibitors)
ramucirumab,gastric cancer (single agent or with paclitaxel),560,every 2 weeks,29.23,100/10 vial|500/50 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
ramucirumab,non-small cell lung cancer with EGFR mutations (with erlotinib),700,every 2 weeks,36.54,100/10 vial|500/50 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
ramucirumab,non-small cell lung cancer after platinum therapy (with docetaxel),700,every 3 weeks,33.33,100/10 vial|500/50 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
ramucirumab,colorectal cancer (with FOLFIRI),560,every 2 weeks,29.23,100/10 vial|500/50 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
ramucirumab,hepatocellular carcinoma,560,every 2 weeks,29.23,100/10 vial|500/50 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
ranibizumab,Neovascular (Wet) Age-Related Macular Degeneration (AMD),0.5,monthly,0.01,0.5/0.05 prefilled syringe|0.5/0.05 vial|0.3/0.05 prefilled syringe|0.3/0.05 vial,S1P (Ocular Antineovascularisation Products)
ranibizumab,Macular Edema Following Retinal Vein Occlusion (RVO),0.5,monthly,0.01,0.5/0.05 prefilled syringe|0.5/0.05 vial|0.3/0.05 prefilled syringe|0.3/0.05 vial,S1P (Ocular Antineovascularisation Products)
ranibizumab,Diabetic Macular Edema (DME),0.3,monthly,0.01,0.5/0.05 prefilled syringe|0.5/0.05 vial|0.3/0.05 prefilled syringe|0.3/0.05 vial,S1P (Ocular Antineovascularisation Products)
ranibizumab,Diabetic Retinopathy (DR),0.3,monthly,0.01,0.5/0.05 prefilled syringe|0.5/0.05 vial|0.3/0.05 prefilled syringe|0.3/0.05 vial,S1P (Ocular Antineovascularisation Products)
ranibizumab,Myopic Choroidal Neovascularization (mCNV),0.5,monthly,0.01,0.5/0.05 prefilled syringe|0.5/0.05 vial|0.3/0.05 prefilled syringe|0.3/0.05 vial,S1P (Ocular Antineovascularisation Products)
ravulizumab,Paroxysmal Nocturnal Hemoglobinuria (PNH),3600.0,every 8 weeks,64.3,300/3 vial|1100/11 vial,L4E (Complement Inhibitors)
ravulizumab,Atypical Hemolytic Uremic Syndrome (aHUS),3600.0,every 8 weeks,64.3,300/3 vial|1100/11 vial,L4E (Complement Inhibitors)
ravulizumab,Generalized Myasthenia Gravis (gMG),3600.0,every 8 weeks,64.3,300/3 vial|1100/11 vial,L4E (Complement Inhibitors)
ravulizumab,Neuromyelitis Optica Spectrum Disorder (NMOSD),3600.0,every 8 weeks,64.3,300/3 vial|1100/11 vial,L4E (Complement Inhibitors)
raxibacumab,inhalational anthrax treatment,2800,single dose,2800,1700/34 vial,J1X9 (All Other Antibacterials)
raxibacumab,inhalational anthrax prophylaxis,2800,single dose,2800,1700/34 vial,J1X9 (All Other Antibacterials)
reslizumab,severe asthma with eosinophilic phenotype,210,every 4 weeks,7.5,100/10 vial,R3M (Interleukin Inhibitor Anti-Asthmatics)
retifanlimab,Squamous Cell Carcinoma of the Anal Canal (combination therapy),500|375,every 4 weeks|every 3 weeks,13.7|17.9,500/20 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
retifanlimab,Squamous Cell Carcinoma of the Anal Canal (monotherapy),500|375,every 4 weeks|every 3 weeks,13.7|17.9,500/20 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
retifanlimab,Merkel Cell Carcinoma,500,every 4 weeks,13.7,500/20 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
risankizumab,plaque psoriasis,150,every 12 weeks,12.88,150/1 pen|150/1 syringe|90/1 syringe|180/1.2 syringe|180/1.2 cartridge|360/2.4 cartridge,L4C (Interleukin Inhibitors)
risankizumab,psoriatic arthritis,150,every 12 weeks,12.88,150/1 pen|150/1 syringe|90/1 syringe|180/1.2 syringe|180/1.2 cartridge|360/2.4 cartridge,L4C (Interleukin Inhibitors)
risankizumab,Crohn's disease,180|360,every 8 weeks,11.71|23.42,150/1 pen|150/1 syringe|90/1 syringe|180/1.2 syringe|180/1.2 cartridge|360/2.4 cartridge,L4C (Interleukin Inhibitors)
risankizumab,ulcerative colitis,180|360,every 8 weeks,11.71|23.42,150/1 pen|150/1 syringe|90/1 syringe|180/1.2 syringe|180/1.2 cartridge|360/2.4 cartridge,L4C (Interleukin Inhibitors)
rituximab,non-hodgkin's lymphoma - relapsed/refractory low-grade or follicular,637.5|638,weekly for 4 doses|once weekly for 4 or 8 doses,7.0|18.2,100/10 vial|500/50 vial|1400/11.7 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,non-hodgkin's lymphoma - previously untreated follicular maintenance,637.5|1400|638,every 8 weeks for 12 doses|every 8 weeks,26.3|51.8|52.0|130.77|5.7,100/10 vial|500/50 vial|1400/11.7 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,non-hodgkin's lymphoma - non-progressing low-grade after cvp,637.5|638,weekly for 4 doses at 6-month intervals|once weekly for 4 doses at 6-month intervals to maximum 16 doses,14.0|14.6|2.3,100/10 vial|500/50 vial|1400/11.7 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,chronic lymphocytic leukemia,850,every 28 days for cycles 2-6|every 28 days for 6 cycles,30.4|12.5,100/10 vial|500/50 vial|1400/11.7 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,rheumatoid arthritis,1000,"two doses separated by 2 weeks every 24 weeks|two doses separated by 2 weeks, every 24 weeks",30.4|15.1,100/10 vial|500/50 vial|1400/11.7 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,granulomatosis with polyangiitis/microscopic polyangiitis - follow-up,500,"every 6 months after initial two doses|two 500 mg doses separated by 2 weeks, then 500 mg every 6 months|two doses separated by 2 weeks, then every 6 months",5.0|4.1|8.2,100/10 vial|500/50 vial|1400/11.7 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,pemphigus vulgaris - maintenance,500,every 6 months|500 mg at month 12 and every 6 months thereafter,5.0|2.7,100/10 vial|500/50 vial|1400/11.7 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,follicular lymphoma - maintenance,1400,every 8 weeks,130.77,100/10 vial|500/50 vial|1400/11.7 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,follicular lymphoma - non-progressing after cvp,1400,every 6 months,25.48,100/10 vial|500/50 vial|1400/11.7 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
romosozumab,osteoporosis in postmenopausal women at high risk for fracture,210,monthly,6.86,105/1.17 syringe,M5X (All Other Musculoskeletal Products)
sacituzumab,Unresectable locally advanced or metastatic triple-negative breast cancer (mTNBC),700,twice per 21-day cycle (Days 1 and 8),19.17,180 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
sacituzumab,"Unresectable locally advanced or metastatic hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative breast cancer",700,twice per 21-day cycle (Days 1 and 8),19.17,180 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
sarilumab,rheumatoid arthritis|polymyalgia rheumatica,200,every 2 weeks,14.29,150/1.14 syringe|200/1.14 syringe|150/1.14 pen|200/1.14 pen,L4C (Interleukin Inhibitors)
satralizumab,neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive,120,every 4 weeks,4.29,120/1 prefilled syringe,N7X (All Other CNS Drugs)
