base_name,indication,mg_per_dose,dosing_period,dosage_forms,route,designated_daily_dose,ephmra_code
fam-trastuzumab,HER2-Ultralow Metastatic Breast Cancer,378,every 3 weeks,100 vial,intravenous,18,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
fam-trastuzumab,HER2-Mutant Unresectable or Metastatic Non-Small Cell Lung Cancer,378,every 3 weeks,100 vial,intravenous,18,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
fam-trastuzumab,HER2-Positive Locally Advanced or Metastatic Gastric Cancer,448,every 3 weeks,100 vial,intravenous,21.3,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
fam-trastuzumab,HER2-Positive (IHC 3+) Unresectable or Metastatic Solid Tumors,378,every 3 weeks,100 vial,intravenous,18,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
faricimab,Neovascular (Wet) Age-Related Macular Degeneration (nAMD),6,"every 4 weeks initially, then variable intervals",6/0.05 prefilled syringe|6/0.05 vial,intravitreal,0.1,S1P (Ocular Antineovascularisation Products)
faricimab,Diabetic Macular Edema (DME),6,"every 4 weeks initially, then variable intervals or every 8 weeks",6/0.05 prefilled syringe|6/0.05 vial,intravitreal,0.1,S1P (Ocular Antineovascularisation Products)
faricimab,Macular Edema Following Retinal Vein Occlusion (RVO),6,every 4 weeks for 6 months,6/0.05 prefilled syringe|6/0.05 vial,intravitreal,0.1,S1P (Ocular Antineovascularisation Products)
fremanezumab,preventive treatment of migraine in adults,675,every 3 months,225/1.5 autoinjector|225/1.5 syringe,subcutaneous,7.4,N2C2 (Anti-Migraine CGRP Antagonists)
galcanezumab,migraine,120,monthly,120/1 pen|120/1 syringe,subcutaneous,4.27,N2C2 (Anti-Migraine CGRP Antagonists)
galcanezumab,episodic cluster headache,300,monthly,100/1 syringe,subcutaneous,10.68,N2C2 (Anti-Migraine CGRP Antagonists)
garadacimab,hereditary angioedema prophylaxis,200,monthly,200/1.2 autoinjector|200/1.2 syringe,subcutaneous,7.12,B6D (Hereditary Angioedema Products)
gemtuzumab,newly-diagnosed CD33-positive AML (combination regimen) - consolidation,5.1,per cycle,4.5 vial,intravenous,0.06,L1G9 (Monoclonal Antibody Antineoplastics Other)
gemtuzumab,newly-diagnosed CD33-positive AML (single-agent regimen),4.5,per cycle dose,4.5 vial,intravenous,0.06,L1G9 (Monoclonal Antibody Antineoplastics Other)
gemtuzumab,relapsed or refractory CD33-positive AML,5.1,per cycle,4.5 vial,intravenous,0.06,L1G9 (Monoclonal Antibody Antineoplastics Other)
glofitamab,relapsed or refractory diffuse large B-cell lymphoma,30,every 21 days,2.5/2.5 vial|10/10 vial,intravenous,1.43,L1G1 (Monoclonal Antibody Antineoplastics CD20)
golimumab,rheumatoid arthritis,50,every 4 weeks,50/0.5 syringe|100/1.0 syringe|50/0.5 autoinjector|100/1.0 autoinjector|50/4 vial,subcutaneous,1.78,L4B (Anti-TNF Products)
golimumab,rheumatoid arthritis,140,every 8 weeks,50/0.5 syringe|100/1.0 syringe|50/0.5 autoinjector|100/1.0 autoinjector|50/4 vial,intravenous,2.3,L4B (Anti-TNF Products)
golimumab,psoriatic arthritis,50,every 4 weeks,50/0.5 syringe|100/1.0 syringe|50/0.5 autoinjector|100/1.0 autoinjector|50/4 vial,subcutaneous,1.78,L4B (Anti-TNF Products)
golimumab,psoriatic arthritis,140,every 8 weeks,50/0.5 syringe|100/1.0 syringe|50/0.5 autoinjector|100/1.0 autoinjector|50/4 vial,intravenous,2.3,L4B (Anti-TNF Products)
golimumab,ankylosing spondylitis,50,every 4 weeks,50/0.5 syringe|100/1.0 syringe|50/0.5 autoinjector|100/1.0 autoinjector|50/4 vial,subcutaneous,1.78,L4B (Anti-TNF Products)
golimumab,ankylosing spondylitis,140,every 8 weeks,50/0.5 syringe|100/1.0 syringe|50/0.5 autoinjector|100/1.0 autoinjector|50/4 vial,intravenous,2.3,L4B (Anti-TNF Products)
golimumab,ulcerative colitis,100,every 4 weeks,50/0.5 syringe|100/1.0 syringe|50/0.5 autoinjector|100/1.0 autoinjector|50/4 vial,subcutaneous,3.56,L4B (Anti-TNF Products)
guselkumab,plaque psoriasis,100,every 8 weeks,100/1 pen|200/2 pen|100/1 syringe|200/2 syringe|100/1 injector,subcutaneous,1.64,L4C (Interleukin Inhibitors)
guselkumab,psoriatic arthritis,100,every 8 weeks,100/1 pen|200/2 pen|100/1 syringe|200/2 syringe|100/1 injector,subcutaneous,1.64,L4C (Interleukin Inhibitors)
guselkumab,ulcerative colitis,200,every 8 weeks,100/1 pen|200/2 pen|100/1 syringe|200/2 syringe|100/1 injector,subcutaneous,3.29,L4C (Interleukin Inhibitors)
guselkumab,Crohn's disease,200,every 8 weeks,100/1 pen|200/2 pen|100/1 syringe|200/2 syringe|100/1 injector,subcutaneous,3.29,L4C (Interleukin Inhibitors)
ibalizumab,HIV-1 infection in heavily treatment-experienced adults with multidrug resistant HIV-1 infection,800,every 2 weeks,200/1.33 vial,intravenous,56.99,J5C4 (HIV Antivirals Entry Inhibitors)
ibritumomab,"relapsed or refractory, low-grade or follicular B-cell non-Hodgkin's lymphoma",3.2,single course (Day 1 and Day 7-9),3.2/2 vial,intravenous,0.04,L1G1 (Monoclonal Antibody Antineoplastics CD20)
ibritumomab,previously untreated follicular NHL who achieve partial or complete response to first-line chemotherapy,3.2,single course (Day 1 and Day 7-9),3.2/2 vial,intravenous,0.04,L1G1 (Monoclonal Antibody Antineoplastics CD20)
idarucizumab,emergency surgery/urgent procedures or life-threatening bleeding,5000,single dose,2.5g/50mL vial,intravenous,13.7,B2B9 (Antidotes to Anticoagulants Other)
inebilizumab,NMOSD,300,every 6 months,100/10 vial,intravenous,1.64,N7X (All Other CNS Drugs)
inebilizumab,IgG4-RD,300,every 6 months,100/10 vial,intravenous,1.64,N7X (All Other CNS Drugs)
inebilizumab,gMG,300,every 6 months,100/10 vial,intravenous,1.64,N7X (All Other CNS Drugs)
infliximab,Crohn's Disease,350,every 8 weeks,100 vial,intravenous,5.75,L4B (Anti-TNF Products)
infliximab,Crohn's Disease,120,every two weeks,120/1 syringe|120/1 syringe with needle guard|120/1 pen,subcutaneous,8.55,L4B (Anti-TNF Products)
infliximab,Ulcerative Colitis,350,every 8 weeks,100 vial,intravenous,5.75,L4B (Anti-TNF Products)
infliximab,Ulcerative Colitis,120,every two weeks,120/1 syringe|120/1 syringe with needle guard|120/1 pen,subcutaneous,8.55,L4B (Anti-TNF Products)
infliximab,Rheumatoid Arthritis,210,every 8 weeks,100 vial,intravenous,3.45,L4B (Anti-TNF Products)
infliximab,Ankylosing Spondylitis,350,every 6 weeks,100 vial,intravenous,7.67,L4B (Anti-TNF Products)
infliximab,Psoriatic Arthritis,350,every 8 weeks,100 vial,intravenous,5.75,L4B (Anti-TNF Products)
infliximab,Plaque Psoriasis,350,every 8 weeks,100 vial,intravenous,5.75,L4B (Anti-TNF Products)
inotuzumab,relapsed or refractory CD22-positive B-cell precursor acute lymphoblastic leukemia (ALL),0.85,"days 1, 8, and 15 of each cycle",0.9 vial,intravenous,0.03,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Unresectable or Metastatic Melanoma (single agent),210,every 3 weeks,50/10 vial|200/40 vial,intravenous,9.78,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Unresectable or Metastatic Melanoma (with nivolumab),210,every 3 weeks,50/10 vial|200/40 vial,intravenous,9.78,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Adjuvant Treatment of Melanoma,210,"every 3 weeks for 4 doses, then every 12 weeks",50/10 vial|200/40 vial,intravenous,3.45,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Advanced Renal Cell Carcinoma,70,every 3 weeks,50/10 vial|200/40 vial,intravenous,3.26,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,MSI-H or dMMR Colorectal Cancer,70,every 3 weeks,50/10 vial|200/40 vial,intravenous,3.26,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Hepatocellular Carcinoma,210,every 3 weeks,50/10 vial|200/40 vial,intravenous,9.78,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Metastatic Non-Small Cell Lung Cancer,70,every 6 weeks,50/10 vial|200/40 vial,intravenous,1.53,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Malignant Pleural Mesothelioma,70,every 6 weeks,50/10 vial|200/40 vial,intravenous,1.53,L1G9 (Monoclonal Antibody Antineoplastics Other)
ipilimumab,Esophageal Squamous Cell Carcinoma,70,every 6 weeks,50/10 vial|200/40 vial,intravenous,1.53,L1G9 (Monoclonal Antibody Antineoplastics Other)
isatuximab,multiple myeloma with pomalidomide and dexamethasone (≥2 prior therapies),700,every 2 weeks,100/5 vial|500/25 vial,intravenous,49.86,L1G9 (Monoclonal Antibody Antineoplastics Other)
isatuximab,relapsed or refractory multiple myeloma with carfilzomib and dexamethasone (1-3 prior lines),700,every 2 weeks,100/5 vial|500/25 vial,intravenous,49.86,L1G9 (Monoclonal Antibody Antineoplastics Other)
isatuximab,"newly diagnosed multiple myeloma with bortezomib, lenalidomide, and dexamethasone (not eligible for ASCT)",700,every 4 weeks,100/5 vial|500/25 vial,intravenous,24.93,L1G9 (Monoclonal Antibody Antineoplastics Other)
ixekizumab,adult plaque psoriasis,80,every 4 weeks,80/1 autoinjector|80/1 syringe|40/0.5 syringe|20/0.25 syringe,subcutaneous,2.85,L4C (Interleukin Inhibitors)
ixekizumab,psoriatic arthritis,80,every 4 weeks,80/1 autoinjector|80/1 syringe|40/0.5 syringe|20/0.25 syringe,subcutaneous,2.85,L4C (Interleukin Inhibitors)
ixekizumab,ankylosing spondylitis,80,every 4 weeks,80/1 autoinjector|80/1 syringe|40/0.5 syringe|20/0.25 syringe,subcutaneous,2.85,L4C (Interleukin Inhibitors)
ixekizumab,non-radiographic axial spondyloarthritis,80,every 4 weeks,80/1 autoinjector|80/1 syringe|40/0.5 syringe|20/0.25 syringe,subcutaneous,2.85,L4C (Interleukin Inhibitors)
lanadelumab,hereditary angioedema prophylaxis,300,every 2 weeks,150/1 syringe|300/2 syringe|300/2 vial,subcutaneous,21.37,B6D (Hereditary Angioedema Products)
lebrikizumab,moderate-to-severe atopic dermatitis,250,every 4 weeks,250/2 pen|250/2 syringe,subcutaneous,8.9,D5X (Other Nonsteroidal Products For Inflammatory Skin Disorders)
lecanemab,Alzheimer's disease,700,every 4 weeks,500/5 vial|200/2 vial,intravenous,24.93,N7D9 (All Other Anti-Alzheimer Products)
lecanemab,Alzheimer's disease,360,weekly,360/1.8 autoinjector,subcutaneous,51.29,N7D9 (All Other Anti-Alzheimer Products)
loncastuximab,relapsed or refractory large B-cell lymphoma after two or more lines of systemic therapy,5.25,every 3 weeks,10 vial,intravenous,0.24,L1G9 (Monoclonal Antibody Antineoplastics Other)
margetuximab,metastatic HER2-positive breast cancer,1050,every 3 weeks,250/10 vial,intravenous,48.9,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
marstacimab,hemophilia A (congenital factor VIII deficiency) without factor VIII inhibitors,150,weekly,150/1 prefilled syringe|150/1 prefilled pen,subcutaneous,21.37,B2D3 (Haemophilia Anti-Inhibitor Products)
marstacimab,hemophilia B (congenital factor IX deficiency) without factor IX inhibitors,150,weekly,150/1 prefilled syringe|150/1 prefilled pen,subcutaneous,21.37,B2D3 (Haemophilia Anti-Inhibitor Products)
mepolizumab,severe asthma,100,every 4 weeks,100/1 vial|100/1 autoinjector|100/1 syringe,subcutaneous,3.56,R3M (Interleukin Inhibitor Anti-Asthmatics)
mepolizumab,chronic rhinosinusitis with nasal polyps,100,every 4 weeks,100/1 vial|100/1 autoinjector|100/1 syringe,subcutaneous,3.56,R3M (Interleukin Inhibitor Anti-Asthmatics)
mepolizumab,chronic obstructive pulmonary disease,100,every 4 weeks,100/1 vial|100/1 autoinjector|100/1 syringe,subcutaneous,3.56,R3M (Interleukin Inhibitor Anti-Asthmatics)
mepolizumab,eosinophilic granulomatosis with polyangiitis,300,every 4 weeks,100/1 vial|100/1 autoinjector|100/1 syringe,subcutaneous,10.68,R3M (Interleukin Inhibitor Anti-Asthmatics)
mepolizumab,hypereosinophilic syndrome,300,every 4 weeks,100/1 vial|100/1 autoinjector|100/1 syringe,subcutaneous,10.68,R3M (Interleukin Inhibitor Anti-Asthmatics)
mirikizumab,moderately to severely active ulcerative colitis,200,every 4 weeks,100/1 pen|100/1 syringe|200/2 pen|200/2 syringe,subcutaneous,7.12,L4C (Interleukin Inhibitors)
mirikizumab,moderately to severely active Crohn's disease,300,every 4 weeks,100/1 pen|100/1 syringe|200/2 pen|200/2 syringe,subcutaneous,10.68,L4C (Interleukin Inhibitors)
mirvetuximab,"folate receptor-alpha (FRα) positive, platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer",420,every 3 weeks,100/20 vial,intravenous,19.56,L1G9 (Monoclonal Antibody Antineoplastics Other)
mogamulizumab,relapsed or refractory mycosis fungoides or Sézary syndrome after at least one prior systemic therapy,70,every 2 weeks,20/5 vial,intravenous,4.99,L1G9 (Monoclonal Antibody Antineoplastics Other)
mosunetuzumab,relapsed or refractory follicular lymphoma after two or more lines of systemic therapy,30,every 21 days,1/1 vial|30/30 vial,intravenous,1.4,L1G9 (Monoclonal Antibody Antineoplastics Other)
narsoplimab,hematopoietic stem cell transplant-associated thrombotic microangiopathy (TA-TMA),370,once weekly,370/2 vial,intravenous,52.71,L4X (Other Immunosuppressants)
natalizumab,Multiple Sclerosis,300,every 4 weeks,300/15 vial,intravenous,10.68,N7A (Multiple Sclerosis Products)
natalizumab,Crohn's Disease,300,every 4 weeks,300/15 vial,intravenous,10.68,N7A (Multiple Sclerosis Products)
naxitamab,relapsed or refractory high-risk neuroblastoma in the bone or bone marrow,150,"days 1, 3, and 5 every 4 weeks",40/10 vial,intravenous,16.03,L1G9 (Monoclonal Antibody Antineoplastics Other)
necitumumab,metastatic squamous non-small cell lung cancer,800,days 1 and 8 of each 3-week cycle,800/50 vial,intravenous,35.07,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
nemolizumab,prurigo nodularis,30,every 4 weeks,30 pen,subcutaneous,0.82,D5X (Other Nonsteroidal Products For Inflammatory Skin Disorders)
nemolizumab,atopic dermatitis,30,every 4 weeks,30 pen,subcutaneous,0.82,D5X (Other Nonsteroidal Products For Inflammatory Skin Disorders)
nipocalimab,generalized myasthenia gravis (gMG) in adult and pediatric patients 12 years of age and older who are anti-acetylcholine receptor (AChR) or anti-muscle-specific tyrosine kinase (MuSK) antibody positive,1050,every two weeks,300/1.62 vial|1200/6.5 vial,intravenous,74.79,M5X (All Other Musculoskeletal Products)
nivolumab,unresectable or metastatic melanoma,480,every 4 weeks,240/20 vial,intravenous,17.1,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Metastatic NSCLC,480,every 4 weeks,240/20 vial,intravenous,17.1,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Advanced RCC,480,every 4 weeks,240/20 vial,intravenous,17.1,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Classical Hodgkin lymphoma,480,every 4 weeks,240/20 vial,intravenous,17.1,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,Squamous cell carcinoma of the head and neck,480,every 4 weeks,240/20 vial,intravenous,17.1,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,First-line unresectable or metastatic urothelial carcinoma,480,every 4 weeks,240/20 vial,intravenous,17.1,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
nivolumab,MSI-H or dMMR metastatic colorectal cancer,480,every 4 weeks,240/20 vial,intravenous,17.1,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
obiltoxaximab,inhalational anthrax treatment,1120,single dose,600/6 vial,intravenous,3.07,J1X9 (All Other Antibacterials)
obiltoxaximab,inhalational anthrax prophylaxis,1120,single dose,600/6 vial,intravenous,3.07,J1X9 (All Other Antibacterials)
obinutuzumab,Chronic Lymphocytic Leukemia,1000,every 28 days,1000/40 vial,intravenous,35.61,L1G1 (Monoclonal Antibody Antineoplastics CD20)
obinutuzumab,Follicular Lymphoma,1000,every 2 months for up to 2 years,1000/40 vial,intravenous,16.44,L1G1 (Monoclonal Antibody Antineoplastics CD20)
obinutuzumab,Active Lupus Nephritis,1000,every 6 months,1000/40 vial,intravenous,5.48,L1G1 (Monoclonal Antibody Antineoplastics CD20)
ocrelizumab,Relapsing forms of multiple sclerosis,600,every 6 months,300/10 vial,intravenous,3.29,N7A (Multiple Sclerosis Products)
ocrelizumab,Primary progressive MS,600,every 6 months,300/10 vial,intravenous,3.29,N7A (Multiple Sclerosis Products)
ocrelizumab,Relapsing forms of multiple sclerosis,920,every 6 months,920/23 vial,subcutaneous,5.04,N7A (Multiple Sclerosis Products)
ocrelizumab,Primary progressive MS,920,every 6 months,920/23 vial,subcutaneous,5.04,N7A (Multiple Sclerosis Products)
ofatumumab,relapsing forms of multiple sclerosis,20,monthly,20/0.4 pen|20/0.4 syringe,subcutaneous,0.71,L1G1 (Monoclonal Antibody Antineoplastics CD20)
omalizumab,asthma,150,every 2 or 4 weeks,75/0.5 syringe|150/1 syringe|300/2 syringe|75/0.5 autoinjector|150/1 autoinjector|300/2 autoinjector|150 vial,subcutaneous,6.99,R3X2 (All Other Anti-Asthmatics and COPD Products Systemic)
omalizumab,chronic rhinosinusitis with nasal polyps,300,every 2 or 4 weeks,75/0.5 syringe|150/1 syringe|300/2 syringe|75/0.5 autoinjector|150/1 autoinjector|300/2 autoinjector|150 vial,subcutaneous,13.97,R3X2 (All Other Anti-Asthmatics and COPD Products Systemic)
omalizumab,IgE-mediated food allergy,300,every 2 or 4 weeks,75/0.5 syringe|150/1 syringe|300/2 syringe|75/0.5 autoinjector|150/1 autoinjector|300/2 autoinjector|150 vial,subcutaneous,13.97,R3X2 (All Other Anti-Asthmatics and COPD Products Systemic)
panitumumab,RAS Wild-Type mCRC (first-line with FOLFOX),420,every 14 days,100/5 vial|400/20 vial,intravenous,29.92,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
panitumumab,RAS Wild-Type mCRC (monotherapy after progression),420,every 14 days,100/5 vial|400/20 vial,intravenous,29.92,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
panitumumab,KRAS G12C-mutated mCRC (with sotorasib),420,every 14 days,100/5 vial|400/20 vial,intravenous,29.92,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
pembrolizumab,Melanoma (unresectable or metastatic),400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Melanoma (adjuvant),400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Non-Small Cell Lung Cancer,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Malignant Pleural Mesothelioma,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Head and Neck Squamous Cell Cancer,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Classical Hodgkin Lymphoma,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Primary Mediastinal Large B-Cell Lymphoma,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Urothelial Cancer,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Microsatellite Instability-High or Mismatch Repair Deficient Cancer,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Microsatellite Instability-High or Mismatch Repair Deficient Colorectal Cancer,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Gastric Cancer,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Esophageal Cancer,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Cervical Cancer,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Hepatocellular Carcinoma,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Biliary Tract Cancer,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Merkel Cell Carcinoma,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Renal Cell Carcinoma,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Endometrial Carcinoma,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Tumor Mutational Burden-High Cancer,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Cutaneous Squamous Cell Carcinoma,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Triple-Negative Breast Cancer,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pembrolizumab,Ovarian Cancer,400,every 6 weeks,100/4 vial,intravenous,8.77,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
penpulimab,recurrent or metastatic non-keratinizing nasopharyngeal carcinoma,200,every 3 weeks,100/10 vial,intravenous,9.32,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
penpulimab,metastatic non-keratinizing nasopharyngeal carcinoma with disease progression,200,every 2 weeks,100/10 vial,intravenous,14.25,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
pertuzumab,HER2-positive breast cancer,420,every 3 weeks,420/14 vial,intravenous,19.56,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
pertuzumab,breast cancer,600,every 3 weeks,600/10 vial,subcutaneous,27.95,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
polatuzumab,"Previously Untreated DLBCL, NOS or HGBL",126,every 21 days,30/vial|140/vial,intravenous,5.87,L1G9 (Monoclonal Antibody Antineoplastics Other)
polatuzumab,"Relapsed or Refractory DLBCL, NOS",126,every 21 days,30/vial|140/vial,intravenous,5.87,L1G9 (Monoclonal Antibody Antineoplastics Other)
pozelimab,"CD55-deficient protein-losing enteropathy (PLE), also known as CHAPLE disease",700,once weekly,400/2 vial,subcutaneous,99.73,L4E (Complement Inhibitors)
ramucirumab,gastric cancer,560,every 2 weeks,100/10 vial|500/50 vial,intravenous,39.89,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
ramucirumab,non-small cell lung cancer,700,every 2.5 weeks,100/10 vial|500/50 vial,intravenous,40.27,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
ramucirumab,colorectal cancer,560,every 2 weeks,100/10 vial|500/50 vial,intravenous,39.89,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
ramucirumab,hepatocellular carcinoma,560,every 2 weeks,100/10 vial|500/50 vial,intravenous,39.89,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
ranibizumab,Neovascular (Wet) Age-Related Macular Degeneration (AMD),0.5,monthly,0.5/0.05 prefilled syringe|0.5/0.05 vial,intravitreal,0.02,S1P (Ocular Antineovascularisation Products)
ranibizumab,Macular Edema Following Retinal Vein Occlusion (RVO),0.5,monthly,0.5/0.05 prefilled syringe|0.5/0.05 vial,intravitreal,0.02,S1P (Ocular Antineovascularisation Products)
ranibizumab,Diabetic Macular Edema (DME),0.3,monthly,0.3/0.05 prefilled syringe|0.3/0.05 vial,intravitreal,0.01,S1P (Ocular Antineovascularisation Products)
ranibizumab,Diabetic Retinopathy (DR),0.3,monthly,0.3/0.05 prefilled syringe|0.3/0.05 vial,intravitreal,0.01,S1P (Ocular Antineovascularisation Products)
ranibizumab,Myopic Choroidal Neovascularization (mCNV),0.5,monthly for up to 3 months,0.5/0.05 prefilled syringe|0.5/0.05 vial,intravitreal,0.01,S1P (Ocular Antineovascularisation Products)
ravulizumab,paroxysmal nocturnal hemoglobinuria,3600,every 8 weeks,300/3 vial|1100/11 vial,intravenous,59.18,L4E (Complement Inhibitors)
ravulizumab,atypical hemolytic uremic syndrome,3600,every 8 weeks,300/3 vial|1100/11 vial,intravenous,59.18,L4E (Complement Inhibitors)
ravulizumab,generalized myasthenia gravis,3600,every 8 weeks,300/3 vial|1100/11 vial,intravenous,59.18,L4E (Complement Inhibitors)
ravulizumab,neuromyelitis optica spectrum disorder,3600,every 8 weeks,300/3 vial|1100/11 vial,intravenous,59.18,L4E (Complement Inhibitors)
raxibacumab,inhalational anthrax treatment,2800,single dose,1700/34 vial,intravenous,7.67,J1X9 (All Other Antibacterials)
raxibacumab,inhalational anthrax prophylaxis,2800,single dose,1700/34 vial,intravenous,7.67,J1X9 (All Other Antibacterials
reslizumab,severe asthma with eosinophilic phenotype,210,every 4 weeks,100/10 vial,intravenous,7.48,R3M (Interleukin Inhibitor Anti-Asthmatics)
retifanlimab,Squamous Cell Carcinoma of the Anal Canal (combination therapy),437.5,every 3.5 weeks,500/20 vial,intravenous,16.78,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
retifanlimab,Squamous Cell Carcinoma of the Anal Canal (monotherapy),437.5,every 3.5 weeks,500/20 vial,intravenous,16.78,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
retifanlimab,Merkel Cell Carcinoma,500,every 4 weeks,500/20 vial,intravenous,17.81,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
risankizumab,plaque psoriasis,150,every 12 weeks,150/1 pen|150/1 syringe,subcutaneous,1.64,L4C (Interleukin Inhibitors)
risankizumab,psoriatic arthritis,150,every 12 weeks,150/1 pen|150/1 syringe,subcutaneous,1.64,L4C (Interleukin Inhibitors)
rituximab,"Non-Hodgkin's Lymphoma - Relapsed or refractory, low-grade or follicular",637.75,weekly for 4 or 8 doses,100/10 vial|500/50 vial,intravenous,10.48,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,Non-Hodgkin's Lymphoma - Previously untreated follicular maintenance,637.75,every 8 weeks for 12 doses,100/10 vial|500/50 vial,intravenous,10.48,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,Non-Hodgkin's Lymphoma - Non-progressing low-grade after CVP,637.75,weekly for 4 doses at 6-month intervals,100/10 vial|500/50 vial,intravenous,13.98,L1G1 (Monoclonal Antibody Antineoplastics CD20)
rituximab,Non-Hodgkin's Lymphoma - Diffuse large B-cell,638,Day 1 of each cycle for up to 8 infusions,100/10 vial|500/50 vial,intravenous,10.48,L1G1 (Monoclonal Antibody Antineoplastics CD20)
